sep=,
DeviceTag:,OR
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-09-03_20:42:29_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,1081282091,-1.78937590122223,4.36584281921387,59.06441497802734,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.79125976562500,-0.08007812500000,-1.73071289062500,0
1,1081290424,-1.77150547504425,4.40511703491211,59.06314086914062,0.99999994039536,-0.00024133548141,0.00034508202225,-0.00003511831164,-0.00464326143265,-0.00078129768372,0.07936531305313,-0.56050163507462,-0.09608089178801,9.52400112152100,-3.31873393058777,4.74540805816650,-0.48293077945709,-0.78686523437500,-0.08007812500000,-1.73242187500000,0
2,1081298757,-1.74862396717072,4.44307470321655,59.06660079956055,0.99999994039536,-0.00020976550877,0.00034332927316,0.00000451970845,-0.00476688146591,-0.00238925218582,0.07798439264297,-0.57500708103180,-0.28852617740631,9.35826396942139,-2.88459825515747,4.72130537033081,0.06215294823050,-0.78491210937500,-0.08203125000000,-1.73242187500000,0
3,1081307090,-1.72254145145416,4.48427200317383,59.06870651245117,0.99999994039536,-0.00017189048231,0.00036094617099,-0.00000549666584,-0.00486797094345,-0.00359833240509,0.07776480913162,-0.58731740713120,-0.43331536650658,9.33188343048096,-2.36375856399536,4.96356534957886,-0.07558761537075,-0.78491210937500,-0.07495117187500,-1.72973632812500,0
4,1081315423,-1.69113409519196,4.52564001083374,59.06970214843750,0.99999994039536,-0.00013372208923,0.00037379749119,-0.00001591537148,-0.00774389505386,-0.00488162040710,0.07900381088257,-0.93264091014862,-0.58702850341797,9.48043441772461,-1.83888435363770,5.14029073715210,-0.21886084973812,-0.78417968750000,-0.07934570312500,-1.73168945312500,0
5,1081323756,-1.65744996070862,4.56457185745239,59.07073593139648,0.99999994039536,-0.00010493863374,0.00034146942198,-0.00001580361277,-0.00876200199127,-0.00249797105789,0.08235275745392,-1.05462408065796,-0.30075091123581,9.88236045837402,-1.44306778907776,4.69572973251343,-0.21732398867607,-0.78588867187500,-0.07495117187500,-1.72509765625000,0
6,1081332089,-1.62158346176147,4.60458850860596,59.07005691528320,0.99999994039536,-0.00009329151362,0.00036239437759,-0.00003152620047,-0.00859379768372,-0.00272697210312,0.08224779367447,-1.03506529331207,-0.32825708389282,9.86970138549805,-1.28290176391602,4.98347997665405,-0.43353372812271,-0.78222656250000,-0.08447265625000,-1.73608398437500,0
7,1081340422,-1.58605408668518,4.65227460861206,59.06975173950195,0.99999988079071,-0.00008787773550,0.00041819829494,-0.00002573803067,-0.00638347864151,-0.00158447027206,0.08167350292206,-0.77004218101501,-0.19100363552570,9.80088138580322,-1.20845401287079,5.75086975097656,-0.35393750667572,-0.78588867187500,-0.08007812500000,-1.73901367187500,0
8,1081348755,-1.54990851879120,4.70650577545166,59.06373214721680,0.99999988079071,-0.00008710101247,0.00048725958914,-0.00007437355816,-0.00614279508591,-0.00065219402313,0.08208960294724,-0.74172693490982,-0.07913540303707,9.85079574584961,-1.19777274131775,6.70056867599487,-1.02275073528290,-0.77856445312500,-0.08374023437500,-1.73974609375000,0
9,1081357088,-1.51817333698273,4.76074504852295,59.05170059204102,0.99999988079071,-0.00011250376701,0.00047812145203,-0.00012663565576,-0.00624400377274,-0.00003767013550,0.08153086900711,-0.75418621301651,-0.00576738314703,9.78371906280518,-1.54709970951080,6.57490539550781,-1.74143493175507,-0.78051757812500,-0.08642578125000,-1.73901367187500,0
