Method,Library,Hyperparameter,MSE_Train,MSE_Val,MSE_Test,n_Terms,Sparsity
Standard SINDy,Full,Threshold=0.010,31.127321260078414,35.10714110723858,46.54452869365114,41,0.023809523809523836
Standard SINDy,Full,Threshold=0.050,31.242469991905423,35.25869717356908,46.37186417165505,40,0.04761904761904767
Standard SINDy,Full,Threshold=0.100,331.03424794218324,342.12410975449046,136.54321070996974,35,0.16666666666666663
Standard SINDy,Full,Threshold=0.200,265.5123327142551,274.5793620934248,115.69932119406427,33,0.2142857142857143
Standard SINDy,Full,Threshold=0.500,133.67607669558873,153.7093415430997,68.55585319272826,27,0.3571428571428571
Standard SINDy,Unit-Consistent,Threshold=0.010,1088.5659081355668,1323.0386193800744,503.4405626352902,5,0.5833333333333333
Standard SINDy,Unit-Consistent,Threshold=0.050,1089.7909291026854,1305.2261425477861,506.3277407957033,2,0.8333333333333334
Standard SINDy,Unit-Consistent,Threshold=0.100,1096.7763660926528,1312.7683661671574,507.5386372167795,1,0.9166666666666666
Standard SINDy,Unit-Consistent,Threshold=0.200,1096.7763660926528,1312.7683661671574,507.5386372167795,1,0.9166666666666666
Standard SINDy,Unit-Consistent,Threshold=0.500,1096.7763660926528,1312.7683661671574,507.5386372167795,1,0.9166666666666666
Lasso SINDy,Full,Alpha=0.001,32.66640151583251,33.69258702454288,43.89689560648218,31,0.2619047619047619
Lasso SINDy,Full,Alpha=0.010,46.14814446777212,49.67936633648456,41.82720418572198,11,0.7380952380952381
Lasso SINDy,Full,Alpha=0.050,69.9649996806958,68.04052669767182,44.112311159002545,2,0.9523809523809523
Lasso SINDy,Full,Alpha=0.100,79.21215949902782,71.07198335238574,43.24135641848058,1,0.9761904761904762
Lasso SINDy,Full,Alpha=0.500,344.42845461786084,376.02014774366637,150.30684546003806,1,0.9761904761904762
Lasso SINDy,Unit-Consistent,Alpha=0.001,1066.5634983439732,1414.2363433013015,548.9469899329831,11,0.08333333333333333
Lasso SINDy,Unit-Consistent,Alpha=0.010,1068.312477736995,1413.6672208772156,562.5975530845037,8,0.3333333333333333
Lasso SINDy,Unit-Consistent,Alpha=0.050,1083.5716061897715,1371.312171451935,542.303970517658,4,0.6666666666666666
Lasso SINDy,Unit-Consistent,Alpha=0.100,1100.9527133522731,1358.1097086897344,530.6800962934474,2,0.8333333333333334
Lasso SINDy,Unit-Consistent,Alpha=0.500,1105.0678963284702,1365.4611522420935,526.8489235849978,0,1.0
Hybrid SINDy,Full,T0.05_A0.0050,39.41389760520989,39.59680670914396,41.144543594385,15,0.6153846153846154
Hybrid SINDy,Full,T0.10_A0.0100,46.75880858227301,50.51371545325578,41.40258351421935,10,0.7142857142857143
Hybrid SINDy,Full,T0.20_A0.0200,63.34482976942377,72.24962476159119,47.63876987208213,7,0.7878787878787878
Hybrid SINDy,Full,T0.10_A0.0050,39.96712145218863,40.01235830928867,41.00193963972554,13,0.6176470588235294
Hybrid SINDy,Unit-Consistent,T0.05_A0.0050,1089.0887525682208,1310.4036116661869,505.03895182204155,2,0.0
Hybrid SINDy,Unit-Consistent,T0.10_A0.0100,1082.0623466858062,1309.4942303099983,540.6054722405823,5,0.0
Hybrid SINDy,Unit-Consistent,T0.20_A0.0200,1085.4845201234048,1316.7336193670285,531.2815854953797,5,0.0
Hybrid SINDy,Unit-Consistent,T0.10_A0.0050,1081.2067404518964,1307.9736499728,546.594163141281,5,0.0
