model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,bic,equation
SINDy,Full,STLSQ,False,0,xddot,3,0.077426,4.5080381811115815e-06,0.002706573057721708,0.003898037454661439,0.555738039485449,-1160.6224132592254,-9147831.530 thetaddot +  9147830.779 y thetaddot +  0.257 cos(theta) thetadot
SINDy,Full,STLSQ,False,1,yddot,0,0.359381,0.23862021056058919,0.24647519412871835,0.3990677673287227,-0.056862627735456917,-278.6982906573034, 0.000
SINDy,Full,STLSQ,False,2,thetaddot,23,0.016681,2.8160817723122354e-17,0.0001622057529268541,0.011963125455011296,0.19439824240086578,-1614.856333843644,-1.054 xddot +  0.017 x xddot + -0.001 x yddot + -0.002 y xdot + -0.003 y thetadot +  0.004 y xddot +  0.027 theta xddot +  0.002 xdot xddot +  0.011 xdot yddot +  0.002 thetadot^2 +  0.002 thetadot xddot +  0.013 thetadot yddot + -0.083 xddot yddot +  0.001 sin(theta) +  0.018 cos(theta) + -0.024 cos(theta) x + -0.040 cos(theta) theta + -0.002 cos(theta) xdot + -0.002 cos(theta) thetadot
SINDy,Full,SR3_L1,False,0,xddot,8,0.027826,0.0016308054598799585,0.008027897880884595,0.014450562167824038,-0.6469403267374445,-917.7952425331245, 0.710 yddot + -0.310 thetaddot + -0.310 y thetaddot +  0.608 theta yddot +  0.024 xdot thetaddot + -0.024 thetadot thetaddot +  1.489 yddot^2 +  0.136 sin(theta) yddot
SINDy,Full,SR3_L1,False,1,yddot,61,31.622777,753.1306433190208,1.525366360556486e+17,2.7197591863756432e+17,-7.202816353125512e+17,8196.561652816954,-39625289.070 1 +  21550445.550 x +  31515631.127 y + -115623328.053 theta +  32143454.880 xdot +  113786911.801 ydot +  53673561.863 thetadot + -1250176511.573 xddot +  3214922895.660 thetaddot + -6658887.872 x^2 + -14105146.806 x y + -45464047.123 x theta +  31899899.989 x xdot + -5650776.992 x ydot +  31180380.324 x thetadot + -174649566.803 x xddot + -302271472.594 x thetaddot + -28030799.672 y theta +  19465045.685 y xdot +  17088673.423 y thetadot +  61051675.225 y xddot + -4283138886.522 y thetaddot +  87753707.464 theta^2 +  39418879.881 theta xdot + -111634689.456 theta ydot +  25164173.300 theta thetadot +  528097492.513 theta xddot +  309519144.101 theta thetaddot + -73086531.555 xdot^2 + -9147908.062 xdot ydot + -196083716.018 xdot thetadot + -824913611.106 xdot xddot + -824450005.559 xdot thetaddot +  11.808 ydot^2 + -12856647.636 ydot thetadot +  8728779.236 ydot xddot +  7329969.543 ydot thetaddot + -127289659.212 thetadot^2 +  692750721.254 thetadot xddot +  674353204.562 thetadot thetaddot + -433144117.420 xddot^2 + -105046299.825 xddot thetaddot +  329310216.452 thetaddot^2 + -81644712.112 sin(theta) +  76296236.983 cos(theta) +  97223363.933 sin(theta) x + -4646173.060 sin(theta) y +  149175579.953 sin(theta) theta + -81535.817 sin(theta) xdot + -7386582.935 sin(theta) ydot + -1724770.142 sin(theta) thetadot +  137077572.052 sin(theta) xddot +  137910897.297 sin(theta) thetaddot + -94290629.334 cos(theta) x + -20068759.202 cos(theta) y + -147667020.552 cos(theta) theta + -25294050.327 cos(theta) xdot + -4091209.148 cos(theta) ydot + -24593860.022 cos(theta) thetadot +  6990825.953 cos(theta) xddot +  9715557.760 cos(theta) thetaddot
SINDy,Full,SR3_L1,False,2,thetaddot,19,0.001585,1.2497226998103263e-05,0.00035563393320598027,0.01615097292901137,-0.08761311811682515,-1479.8073264292818,-0.002 x +  0.006 theta + -0.857 xddot + -0.006 x^2 +  0.003 y xdot + -0.007 y thetadot + -0.108 y xddot + -0.057 theta xddot +  0.007 xdot xddot + -0.001 ydot xddot + -0.004 thetadot xddot + -0.085 xddot yddot + -0.028 cos(theta) +  0.006 cos(theta) y +  0.015 cos(theta) theta +  0.004 cos(theta) xddot
SINDy,Full,LASSO,False,0,xddot,7,0.01,3.574872851178556e-06,0.002907153138047891,0.0040471863180827055,0.5387394428216814,-1125.2224811923727,-0.011600 x -0.709183 thetaddot -0.006770 y thetaddot -0.031404 thetadot thetaddot -0.209565 cos(theta) xdot +0.024023 cos(theta) thetadot -0.010730 cos(theta) yddot
SINDy,Full,LASSO,False,1,yddot,14,0.000631,0.0016832031140119846,0.003734673975124013,0.5083038998297835,-0.34615581423235686,-1038.322588366666,-0.098384 x +0.036496 theta +0.009295 ydot +0.161623 x^2 -0.343215 x y -0.060653 y^2 +0.018989 y ydot +0.070239 theta ydot +0.150187 ydot thetaddot -0.158952 xddot^2 +0.140323 cos(theta) +0.140157 sin(theta) xdot -0.029446 sin(theta) thetadot +0.272905 cos(theta) thetadot
SINDy,Full,LASSO,False,2,thetaddot,1,0.599484,0.12167770368049238,0.015694731670424695,0.043637957886967935,-1.9385979194134575,-821.4383020569136,-0.397597 xddot
SINDy,Full,Ridge,False,0,xddot,62,0.129155,7.231484033801374e-09,0.0009861549609318121,0.09710639496792052,-10.06728139704231,-1049.2328147169028,-0.002505 x -0.003171 y +0.003605 theta +0.001863 xdot -0.001768 ydot -0.004777 thetadot +0.003953 yddot -0.091399 thetaddot +0.005229 x^2 -0.008007 x y -0.004455 x theta +0.021288 x xdot +0.013151 x ydot -0.020496 x thetadot -0.039405 x yddot +0.066784 x thetaddot +0.000492 y^2 +0.003832 y theta -0.028450 y xdot -0.001778 y ydot +0.024808 y thetadot -0.006904 y yddot -0.091399 y thetaddot +0.004552 theta^2 -0.014986 theta xdot -0.002460 theta ydot +0.013462 theta thetadot +0.008714 theta yddot -0.074863 theta thetaddot -0.008745 xdot^2 +0.000186 xdot ydot +0.012673 xdot thetadot -0.012156 xdot yddot +0.102357 xdot thetaddot +0.001383 ydot^2 -0.026723 ydot thetadot +0.008020 ydot yddot -0.042142 ydot thetaddot -0.017407 thetadot^2 +0.008421 thetadot yddot -0.109670 thetadot thetaddot -0.004143 yddot^2 -0.000073 yddot thetaddot +0.036714 thetaddot^2 +0.016002 sin(theta) +0.045915 cos(theta) +0.023734 sin(theta) x -0.001142 sin(theta) y -0.008405 sin(theta) theta -0.019320 sin(theta) xdot -0.005188 sin(theta) ydot +0.020893 sin(theta) thetadot -0.010582 sin(theta) yddot +0.061161 sin(theta) thetaddot -0.054459 cos(theta) x +0.017054 cos(theta) y +0.050092 cos(theta) theta -0.078526 cos(theta) xdot -0.023625 cos(theta) ydot +0.082324 cos(theta) thetadot -0.006297 cos(theta) yddot -0.005969 cos(theta) thetaddot
