Algorithm,Regime,DOF,recall,precision,tp,fp,fn,Library,Optimizer,Threshold,Parsimony,Maxsize,n_terms,MSE_train,MSE_test,ATE
SINDy,Bouncing,a_x,1.0,1.0,3.0,0.0,0.0,UC+lambda,STLSQ,0.01,,,3,1.1822111672578374e-15,7.644770670066333e-17,0.0003548925081933
Hybrid SINDy,Bouncing,a_x,1.0,1.0,3.0,0.0,0.0,UC+lambda,STLSQ,0.001,,,3,7.481609567423301e-16,9.774210252699358e-16,0.0003548948313367
Lagrange SINDy,Bouncing,a_x,1.0,0.5,7.0,7.0,0.0,Lagrange+lambda,STLSQ,0.01,,,14,3.514069812512646e-08,0.0006539792125776,0.000434313022853
SR,Bouncing,a_x,0.5,1.0,1.0,0.0,1.0,No-lam,PySR,,0.001,15.0,1,7.357e-05,0.003581,0.0336
Hybrid SR,Bouncing,a_x,0.33,0.5,1.0,1.0,2.0,With-lam,PySR,,0.01,15.0,2,0.001508,4.795e-22,0.7415
SINDy,Bouncing,a_y,0.75,1.0,3.0,0.0,1.0,UC+lambda,LASSO,0.01,,,3,0.0014659916377265,0.0002690906331521,0.0026687792819521
Hybrid SINDy,Bouncing,a_y,0.75,1.0,3.0,0.0,1.0,UC+lambda,LASSO,0.005,,,3,0.0016704154939594,3.533735467981225e-05,0.0008123541412223
Lagrange SINDy,Bouncing,a_y,1.0,0.5,7.0,7.0,0.0,Lagrange+lambda,STLSQ,0.01,,,14,0.002899837402481,0.0551587258876759,0.0011094196338408
SR,Bouncing,a_y,0.33,0.5,1.0,1.0,2.0,No-lam,PySR,,0.1,25.0,2,0.005281,1.204,0.1309
Hybrid SR,Bouncing,a_y,0.5,1.0,2.0,0.0,2.0,With-lam,PySR,,0.1,25.0,2,0.003878,0.0003519,3.22
SINDy,Bouncing,a_theta,0.5,0.5,4.0,4.0,0.0,UC+lambda,LASSO,0.001,,,8,0.0003234017568275,0.0014708192175941,0.0088962036175186
Hybrid SINDy,Bouncing,a_theta,0.6,0.75,3.0,1.0,1.0,UC+lambda,LASSO,0.1,,,4,0.0676888611407592,0.0337744130275593,0.0195144018067966
Lagrange SINDy,Bouncing,a_theta,1.0,0.5,7.0,7.0,0.0,Lagrange+lambda,STLSQ,0.01,,,14,0.0001543154966629,0.268523143470508,0.0005266031559092
SR,Bouncing,a_theta,1.0,1.0,3.0,0.0,0.0,No-lam,PySR,,0.001,25.0,1,2.471e-13,7.975e-27,0.0032
Hybrid SR,Bouncing,a_theta,1.0,1.0,3.0,0.0,0.0,No-lam,PySR,,0.001,25.0,1,9.023e-14,8.246e-28,4.3333
SINDy,Rolling,a_x,0.6,0.6,3.0,2.0,0.0,UC+lambda,ElasticNet,0.2,,,5,0.0104038765949012,0.0004980674934333,0.0072034797601733
Hybrid SINDy,Rolling,a_x,1.0,1.0,3.0,0.0,0.0,UC+lambda,STLSQ,0.1,,,3,0.0009348304349564,2.636488114246453e-06,0.0008624168388121
Lagrange SINDy,Rolling,a_x,1.0,0.5833333333333334,7.0,5.0,0.0,Lagrange+lambda,STLSQ,0.01,,,12,0.0006440049418717,0.0045089237202681,0.0017108098257393
SR,Rolling,a_x,0.5,0.5,1.0,1.0,1.0,No-lam,PySR,,0.01,15.0,2,0.001464,0.0001325,0.0009
Hybrid SR,Rolling,a_x,0.33,1.0,1.0,0.0,2.0,With-lam,PySR,,0.001,15.0,1,0.009226,0.0002957,0.0026
SINDy,Rolling,a_y,0.5,0.6,3.0,2.0,1.0,UC+lambda,LASSO,0.05,,,5,0.0035483783118437,3.847915050410579e-05,0.0001285820754072
Hybrid SINDy,Rolling,a_y,0.5,1.0,2.0,0.0,2.0,UC+lambda,STLSQ,0.5,,,2,0.0037813469892484,0.0016644472551359,0.0025547114592492
Lagrange SINDy,Rolling,a_y,1.0,0.5833333333333334,7.0,5.0,0.0,Lagrange+lambda,STLSQ,0.01,,,12,0.0002969830311987,8.85707943754313e-05,0.0009494904969606
SR,Rolling,a_y,0.33,0.5,1.0,1.0,2.0,No-lam,PySR,,0.01,25.0,2,0.009618,7.579e-05,0.0031
Hybrid SR,Rolling,a_y,0.75,1.0,3.0,0.0,1.0,With-lam,PySR,,0.1,25.0,2,0.002324,3.081e-07,0.0003
SINDy,Rolling,a_theta,0.8,0.8,4.0,1.0,0.0,UC+lambda,ElasticNet,0.05,,,5,0.0184978512207842,0.01172145429566,0.0055526419525885
Hybrid SINDy,Rolling,a_theta,1.0,1.0,4.0,0.0,0.0,UC+lambda,LASSO,0.01,,,4,0.0027806787681977,0.0004028714621258,0.0055573303866533
Lagrange SINDy,Rolling,a_theta,1.0,0.5833333333333334,7.0,5.0,0.0,Lagrange+lambda,STLSQ,0.01,,,12,4.014941852816309e-05,0.0363097928994149,0.0060733864378065
SR,Rolling,a_theta,0.75,1.0,3.0,0.0,1.0,With-lam,PySR,,0.01,15.0,3,0.004076,0.001736,0.0011
Hybrid SR,Rolling,a_theta,0.25,0.25,1.0,3.0,3.0,With-lam,PySR,,0.001,25.0,4,0.04068,0.03203,0.0333
SINDy,Flight,a_x,0.75,0.75,3.0,1.0,0.0,UC+lambda,LASSO,0.005,,,4,0.0086841255596664,0.0003397795066632,0.0158970221787358
Hybrid SINDy,Flight,a_x,1.0,1.0,3.0,0.0,0.0,UC+lambda,LASSO,0.01,,,3,0.0923282006563165,0.0864033132224604,0.0408322810163451
Lagrange SINDy,Flight,a_x,1.0,0.7777777777777778,7.0,2.0,0.0,Lagrange+lambda,STLSQ,0.05,,,9,0.0022809278341417,0.0535990742387069,0.0067516270820785
SR,Flight,a_x,0.33,0.5,1.0,1.0,2.0,With-lam,PySR,,0.001,15.0,2,0.4971,0.198,0.0183
Hybrid SR,Flight,a_x,0.33,0.5,1.0,1.0,2.0,With-lam,PySR,,0.1,15.0,2,0.3012,0.07035,1.6761
SINDy,Flight,a_y,0.75,1.0,3.0,0.0,1.0,UC+lambda,LASSO,0.05,,,3,0.0308603730677977,0.0078868485476858,0.0217649829348957
Hybrid SINDy,Flight,a_y,0.75,1.0,3.0,0.0,1.0,UC+lambda,LASSO,0.05,,,3,0.157006812603439,0.0548638763827545,0.0448341093237657
Lagrange SINDy,Flight,a_y,1.0,0.7777777777777778,7.0,2.0,0.0,Lagrange+lambda,STLSQ,0.05,,,9,0.0352375052186867,0.0029039986803971,0.0073662958509278
SR,Flight,a_y,0.5,0.25,2.0,6.0,2.0,With-lam,PySR,,0.001,25.0,8,0.1309,1.194,0.2942
Hybrid SR,Flight,a_y,0.5,0.5,2.0,2.0,2.0,With-lam,PySR,,0.001,15.0,4,0.1794,0.09111,0.8006
SINDy,Flight,a_theta,1.0,1.0,3.0,0.0,0.0,UC,LASSO,0.05,,,3,0.5539276141490718,0.6999190365713754,0.1676705004523037
Hybrid SINDy,Flight,a_theta,0.75,0.75,3.0,1.0,0.0,UC,LASSO,0.1,,,4,28.517029125303942,1.9329981033620056,0.037742186274307
Lagrange SINDy,Flight,a_theta,1.0,0.7777777777777778,7.0,2.0,0.0,Lagrange+lambda,STLSQ,0.05,,,9,0.0050525074080558,0.1214594897760153,0.1227278986009763
SR,Flight,a_theta,0.33,1.0,1.0,0.0,2.0,No-lam,PySR,,0.01,25.0,1,2.958,2.14,0.2442
Hybrid SR,Flight,a_theta,0.5,0.5,2.0,2.0,2.0,With-lam,PySR,,0.01,25.0,4,0.002611,0.04158,7.8189
