algorithm,regime,dof,library,optimizer,threshold,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation,Algorithm,Regime,DOF,log10_MSE_test
Hybrid,bouncing,a_theta,Full+λ,STLSQ,0.005,62,1.6522398295617902e-08,4.244885988788154e-09,2.5333293092569948e-08,0.9999998965880336,0.9999982940456892,0.0019735480265141,A,-1.402 x + -0.326 y + -1.826 theta + -0.144 xdot +  0.027 ydot + -0.014 thetadot + -1.141 xddot +  1.030 yddot + -0.885 x^2 + -0.090 x y + -0.910 x theta +  0.065 x ydot + -0.108 x thetadot +  1.365 x xddot + -1.222 x yddot + -0.010 y^2 +  0.115 y theta +  0.614 y xdot +  0.009 y ydot +  0.479 y thetadot + -0.126 y xddot + -0.172 y yddot +  0.142 theta^2 +  0.441 theta xdot +  0.203 theta ydot +  0.330 theta thetadot +  1.432 theta xddot + -1.862 theta yddot +  0.013 xdot^2 + -0.029 xdot ydot + -0.192 xdot xddot + -0.157 xdot yddot + -0.113 ydot^2 + -0.050 ydot thetadot + -0.041 ydot xddot +  0.198 ydot yddot +  0.091 thetadot^2 +  0.400 thetadot yddot + -0.018 xddot^2 + -0.255 xddot yddot +  0.109 yddot^2 +  0.071 sin(theta) +  0.007 cos(theta) +  0.419 sin(theta) x + -0.017 sin(theta) y +  0.415 sin(theta) theta +  0.733 sin(theta) xdot + -0.016 sin(theta) ydot +  0.602 sin(theta) thetadot +  0.151 sin(theta) xddot +  0.157 sin(theta) yddot + -1.409 cos(theta) x +  0.053 cos(theta) y + -1.654 cos(theta) theta +  0.160 cos(theta) xdot +  0.125 cos(theta) ydot +  0.025 cos(theta) thetadot +  0.049 cos(theta) xddot + -0.713 cos(theta) yddot + -0.342 lambda_N + -0.007 lambda_F,Hybrid SINDy,Bouncing,thetaddot,-7.596308352295004
Hybrid,bouncing,a_x,UC+λ,STLSQ,0.0001,12,4.102220445354423e-16,9.19899048085515e-16,9.56192726756606e-16,0.9999999999999,0.999999999999891,0.0003548942993493,A, 0.131 sin(theta) thetaddot +  0.621 cos(theta) thetadot^2 +  0.593 lambda_F,Hybrid SINDy,Bouncing,xddot,-15.019454564072028
Hybrid,bouncing,a_y,UC+λ,STLSQ,0.001,13,0.0016622758754322,3.381560134442142e-07,4.1197652207623e-07,0.9999986275409128,0.9999989089507464,5.6285951533125216e-05,A, 0.003 sin(theta) +  0.004 cos(theta) + -0.010 thetadot^2 + -1139.962 xddot +  0.009 thetaddot + -0.002 sin(theta) cos(theta) +  0.150 sin(theta) thetadot^2 +  148.814 sin(theta) thetaddot +  707.379 cos(theta) thetadot^2 +  0.005 cos(theta) xddot + -0.052 cos(theta) thetaddot +  0.910 lambda_N +  675.842 lambda_F,Hybrid SINDy,Bouncing,yddot,-6.385127533052475
Hybrid,flight,a_theta,UC+λ,STLSQ,0.3,4,3.0522035251633866,1.1444037261551436,1.057524267127217,0.903563062299642,0.8281877697468942,0.1112685954541466,C,-0.598 cos(theta) +  0.872 sin(theta) xddot + -1.000 cos(theta) yddot +  0.633 lambda_F,Hybrid SINDy,Flight,thetaddot,0.024290341965302466
Hybrid,flight,a_x,UC+λ,STLSQ,0.05,5,0.0098704308295951,5.651741948318393e-15,8.189228820268658e-05,0.9999999999999952,0.9996347113469266,0.0152951655957769,B,-0.589 yddot +  0.600 sin(theta) thetadot^2 +  1.029 cos(theta) thetadot^2 +  0.203 lambda_N +  0.103 lambda_F,Hybrid SINDy,Flight,xddot,-4.086756993828232
Hybrid,flight,a_y,UC+λ,STLSQ,0.05,5,0.0178183857570422,0.0001803482317623,0.0016494210954393,0.9998779470943684,0.7409648054912052,0.0077435525083195,A,-1.265 xddot +  1.015 sin(theta) thetadot^2 +  1.303 cos(theta) thetadot^2 +  0.344 lambda_N +  0.128 lambda_F,Hybrid SINDy,Flight,yddot,-2.7826684552838046
Hybrid,rolling,a_theta,Full+λ,STLSQ,0.0001,64,5.626494812630838e-09,1.6285154276312575e-09,1.1509451215584327e-09,0.999999999740736,0.999999999523424,0.005426615215944,A,-75597.797 x +  571.200 y +  170643.419 theta + -103511.161 xdot +  296.556 ydot +  177653.110 thetadot +  176494.360 xddot +  6306.465 yddot +  37.986 x^2 +  75608.274 x y +  93.841 x theta +  5.997 x xdot +  0.159 x ydot + -14.415 x thetadot + -0.107 x xddot +  5.451 x yddot +  9.571 y^2 + -170628.833 y theta +  103500.738 y xdot + -305.128 y ydot + -177830.119 y thetadot + -176554.784 y xddot + -6720.244 y yddot +  56.672 theta^2 +  6.977 theta xdot +  4.264 theta ydot + -13.494 theta thetadot + -0.134 theta xddot +  300.201 theta yddot +  0.278 xdot^2 + -0.874 xdot ydot +  0.551 xdot thetadot + -0.118 xdot xddot + -81.880 xdot yddot + -0.017 ydot^2 +  2.564 ydot thetadot +  0.438 ydot xddot + -0.543 ydot yddot + -2.197 thetadot^2 + -0.227 thetadot xddot +  96.020 thetadot yddot +  0.013 xddot^2 +  9.063 xddot yddot +  28.925 yddot^2 +  65144.027 sin(theta) + -373221.640 cos(theta) + -0.798 sin(theta) x + -65144.723 sin(theta) y + -0.989 sin(theta) theta + -0.037 sin(theta) xdot +  0.467 sin(theta) ydot + -0.141 sin(theta) thetadot +  0.178 sin(theta) xddot +  36.228 sin(theta) yddot + -0.711 cos(theta) x +  373245.886 cos(theta) y + -0.874 cos(theta) theta +  0.363 cos(theta) xdot + -0.599 cos(theta) ydot +  0.481 cos(theta) thetadot + -0.060 cos(theta) xddot +  12.424 cos(theta) yddot +  0.160 lambda_N +  0.347 lambda_F,Hybrid SINDy,Rolling,thetaddot,-8.938945383557472
Hybrid,rolling,a_x,Full+λ,STLSQ,0.01,62,1.868832143642668e-08,4.4451136495563285e-09,3.894703497030543e-09,0.9999999781582036,0.9999999502254828,0.0009765406602184,A, 8336703.171 x +  12969.396 y + -12399295.927 theta + -5665519.255 xdot + -20124.619 ydot +  4005497.766 thetadot +  427572.055 yddot +  461195.377 thetaddot + -477.023 x^2 + -8336589.952 x y + -1122.055 x theta +  45.096 x xdot + -0.154 x ydot +  122.300 x thetadot + -12.030 x yddot +  3.013 x thetaddot + -16.797 y^2 +  12399041.755 y theta +  5665027.856 y xdot +  20170.980 y ydot + -4009581.265 y thetadot + -427408.099 y yddot + -461197.827 y thetaddot + -648.296 theta^2 + -80.045 theta xdot + -12.952 theta ydot + -548.607 theta yddot +  3.717 theta thetaddot +  0.515 xdot^2 +  0.833 xdot ydot + -6.759 xdot thetadot +  18.301 xdot yddot + -1.785 xdot thetaddot +  0.042 ydot^2 + -1.396 ydot thetadot +  0.308 ydot yddot + -0.182 ydot thetaddot +  6.225 thetadot^2 + -1.313 thetadot thetaddot + -77.942 yddot^2 + -4.249 yddot thetaddot + -0.015 thetaddot^2 +  3321729.641 sin(theta) + -2315054.644 cos(theta) +  4.386 sin(theta) x + -3321810.999 sin(theta) y +  5.434 sin(theta) theta + -8.731 sin(theta) xdot + -1.817 sin(theta) ydot + -8.855 sin(theta) thetadot + -26.439 sin(theta) yddot +  0.072 sin(theta) thetaddot +  1.647 cos(theta) x +  2315206.533 cos(theta) y +  2.025 cos(theta) theta +  4.719 cos(theta) xdot +  0.563 cos(theta) ydot +  6.029 cos(theta) thetadot + -46.038 cos(theta) yddot +  0.243 cos(theta) thetaddot + -3.654 lambda_N +  0.571 lambda_F,Hybrid SINDy,Rolling,xddot,-8.409525599481784
Hybrid,rolling,a_y,Full+λ,STLSQ,0.0001,64,1.3859916691788775e-10,5.629991878089244e-12,5.689132851216509e-12,0.0,0.0,1.550796726753246e-07,A, 1430651.314 x + -229.115 y + -176721.194 theta +  174956.977 xdot + -812.629 ydot + -37624.294 thetadot +  179672.262 xddot + -23827288.315 thetaddot + -1679.257 x^2 + -1430071.324 x y + -3825.403 x theta + -2.542 x xdot + -0.984 x ydot + -38.544 x thetadot +  230.614 x xddot +  230.221 x thetaddot + -6.523 y^2 +  177289.543 y theta + -174885.693 y xdot +  798.651 y ydot +  37712.288 y thetadot + -179743.448 y xddot +  23827287.857 y thetaddot + -2142.205 theta^2 + -407.144 theta xdot +  28.959 theta ydot + -423.372 theta thetadot +  92.580 theta xddot +  90.536 theta thetaddot +  10.912 xdot^2 +  6.248 xdot ydot +  7.303 xdot thetadot +  8.717 xdot xddot +  6.469 xdot thetaddot +  0.138 ydot^2 + -17.571 ydot thetadot + -1.824 ydot xddot + -0.050 ydot thetaddot + -7.479 thetadot^2 +  0.764 thetadot xddot + -1.326 thetadot thetaddot +  7.306 xddot^2 +  1.517 xddot thetaddot + -1.063 thetaddot^2 + -226427.586 sin(theta) + -456528.905 cos(theta) + -1.691 sin(theta) x +  226434.518 sin(theta) y + -2.095 sin(theta) theta + -53.884 sin(theta) xdot +  4.409 sin(theta) ydot + -56.396 sin(theta) thetadot + -4.708 sin(theta) xddot + -2.630 sin(theta) thetaddot + -1.086 cos(theta) x +  456564.055 cos(theta) y + -1.335 cos(theta) theta + -18.456 cos(theta) xdot + -3.426 cos(theta) ydot + -20.005 cos(theta) thetadot + -3.818 cos(theta) xddot + -2.619 cos(theta) thetaddot +  0.361 lambda_N + -2.430 lambda_F,Hybrid SINDy,Rolling,yddot,-11.244953924577002
Lagrange,bouncing,a_theta,Lagrange+λ,LASSO,0.001,15,0.0003747094796783,0.023640425931451,0.0336428844288222,0.4240827814072125,-1.265525587647378,0.0517771475599897,C,"T = +0.593757*xdot^2 +0.647979*ydot^2 +0.029288*thetadot^2 +0.018203*xdot ydot -0.068421*xdot thetadot sin(theta) -0.008774*xdot thetadot cos(theta) -0.016775*ydot thetadot sin(theta) +0.082917*ydot thetadot cos(theta)
V = -1.424583*y -0.103069*sin(theta) +0.006771*cos(theta) +0.079990*y sin(theta) -0.102941*y cos(theta) +0.019370*y^2 -0.001690*x",Lagrangian SINDy,Bouncing,thetaddot,-1.4731067763159034
