algorithm,run,library,parsimony,maxsize,dof,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation
PySR,run_1,Full,0.001,15,a_x,5,39.29529112926116,24.51599508459854,24.863895199919646,0.982356381887454,0.9796153790894091,3.268977006986364,F,(sin_ez + vy)*12.400245
PySR,run_1,Full,0.001,15,a_y,9,59.19143389398898,32.20730447045656,28.987546875072052,0.9775356010095317,0.9773547698260138,1.0497832263845388,F,az + cos_ez*(-12.972738) + vx*(-11.834942)
PySR,run_1,Full,0.001,15,a_z,3,13.199111695441449,6.156061608653036,7.02082564247045,0.6938363525206059,0.5477618654841133,0.05620308989448131,C,px - vx
PySR,run_2,Full,0.001,15,a_x,7,50.4920963877609,27.847612692569545,41.43047339125743,0.9775427552070222,0.9711977550562741,2.5899717043331205,F,sin_ez*16.327602 + vy*13.373895
PySR,run_2,Full,0.001,15,a_y,7,50.12401591495098,43.455545525123995,76.28108707031774,0.963259007857973,0.9406676309828762,1.8697756457286945,F,cos_ez*(-14.607531) - vx/0.07702699
PySR,run_2,Full,0.001,15,a_z,3,14.368589522863854,10.639082211870718,19.986842484465363,0.2610881137668659,-0.030073639501393856,0.311776467569963,D,vx*(-0.7663247)
PySR,run_3,Full,0.001,15,a_x,5,30.971282867551242,43.311064571319186,139.86384881291713,0.9671181545405111,0.7170306969798856,1.747127599429716,F,(sin_ez + vy)/0.077492185
PySR,run_3,Full,0.001,15,a_y,5,32.79789101327955,51.5222141226017,118.60155741067769,0.9604661253077578,0.6768595834339876,0.6515116426390515,F,(cos_ez + vx)/(-0.08384621)
PySR,run_3,Full,0.001,15,a_z,3,10.90071078995858,12.764129709938452,17.572447501209993,-1.14412630194846,0.04027823834188671,0.47681422513101884,D,px - vx
PySR,run_4,Full,0.001,15,a_x,5,33.10633876764951,25.967236424641424,84.37776192822412,0.9783836335163454,0.018110047717329825,0.37616577020773434,D,(sin_ez + vy)/0.08014464
PySR,run_4,Full,0.001,15,a_y,7,31.28838429288098,18.54883161040414,59.6290246063488,0.9829223204774019,0.4847111891884178,0.8014514265585794,F,(cos_ez - vx/(-0.98821545))*(-11.461128)
PySR,run_4,Full,0.001,15,a_z,3,6.806729115850516,5.415060002006773,3.484678416745531,0.3997737856663728,0.1127040801183471,0.2665804769883485,D,ax*(-0.06556577)
PySR,run_5,Full,0.001,15,a_x,5,40.8177773848742,31.52913598033391,47.275166556421254,0.9748222841638864,0.9615222813994082,1.0054116348012085,F,(sin_ez + vy)/0.07826494
PySR,run_5,Full,0.001,15,a_y,7,32.3527188906245,16.606663463762015,26.262125830425095,0.9851150329901631,0.9788906283068908,0.6287885689022649,F,-cos_ez/0.08265432 + vx*(-11.9063635)
PySR,run_5,Full,0.001,15,a_z,3,8.106978155596519,9.0484180064536,8.79951580798645,0.28507477392706526,0.3771026526167316,0.08643943801629016,C,ax*(-0.0858192)
Hybrid PySR,pooled,Full,0.001,15,a_x,5,45.06285668940591,42.281388609501846,39.19151216044088,0.9678047144732111,0.9722239219802733,22.73013134419083,F,(sin_ez + vy)*12.495282
Hybrid PySR,pooled,Full,0.001,15,a_y,9,40.58456293380866,30.17016476850385,25.345120865097513,0.9746480393566868,0.9810297316152361,61.22035424250405,F,-sin_ey + (cos_ez + vx)*(wz - 3.6920009)
Hybrid PySR,pooled,Full,0.001,15,a_z,3,12.600291018486745,17.222039121897705,31.91702420307337,-0.7097216767868699,-0.8901624801849564,0.8386209558083163,F,px - vx
