algorithm,regime,library,optimizer,threshold,dof,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation
SINDy,bouncing,Full,STLSQ,0.0001,a_x,62,8.360571236085537e-16,5.722804075065069e-07,0.00014740916957480904,0.9995617278968019,0.3250351749755307,0.0003721043502075858,A,-7.101 x + -0.777 y + -19.717 theta +  6.356 xdot + -1.259 ydot + -3.109 thetadot + -1.553 yddot + -1471.871 thetaddot + -15.983 x^2 +  0.157 x y + -31.192 x theta + -6.698 x xdot +  0.224 x ydot +  5.083 x thetadot +  1.229 x yddot + -1.564 x thetaddot +  0.390 y theta +  0.094 y xdot + -0.068 y thetadot + -0.681 y yddot +  1469.831 y thetaddot + -3.072 theta^2 + -15.279 theta xdot +  1.376 theta ydot +  8.907 theta thetadot +  4.815 theta yddot +  0.767 theta thetaddot + -1.110 xdot^2 + -0.062 xdot ydot +  1.629 xdot thetadot +  1.437 xdot yddot +  0.112 xdot thetaddot +  0.138 ydot^2 + -0.104 ydot thetadot + -0.012 ydot yddot +  0.033 ydot thetaddot + -0.498 thetadot^2 + -1.154 thetadot yddot +  0.282 thetadot thetaddot +  0.269 yddot^2 +  0.010 thetaddot^2 + -2.063 sin(theta) + -5.330 cos(theta) +  1.664 sin(theta) x + -0.153 sin(theta) y +  2.662 sin(theta) theta +  0.265 sin(theta) xdot + -0.060 sin(theta) ydot + -0.662 sin(theta) thetadot + -0.330 sin(theta) yddot +  0.161 sin(theta) thetaddot + -1.478 cos(theta) x +  0.042 cos(theta) y +  1.575 cos(theta) theta +  1.024 cos(theta) xdot + -0.028 cos(theta) ydot +  1.466 cos(theta) thetadot + -0.871 cos(theta) yddot + -0.166 cos(theta) thetaddot
SINDy,bouncing,Full,STLSQ,0.0001,a_y,62,0.00017357851888264765,178719.21599728495,20460279.00349348,0.0,0.0,14.046622949597445,F, 2701121.752 x +  137303.886 y +  4106490.916 theta + -854983.000 xdot + -182236.133 ydot +  665500.877 thetadot +  88143.602 xddot +  4993039.332 thetaddot + -611571.554 x^2 + -31736.882 x y + -2186965.768 x theta +  234005.513 x xdot +  39965.925 x ydot + -1570738.797 x thetadot +  118883.921 x xddot +  50683.656 x thetaddot + -0.519 y^2 + -65032.796 y theta + -25571.577 y xdot +  0.494 y ydot + -4546.328 y thetadot +  2402.729 y xddot + -4927690.350 y thetaddot + -2797002.448 theta^2 +  1084467.195 theta xdot +  179085.772 theta ydot + -2197015.822 theta thetadot + -85424.785 theta xddot + -134817.211 theta thetaddot + -173245.736 xdot^2 + -12926.877 xdot ydot + -98728.883 xdot thetadot +  27399.267 xdot xddot + -14251.319 xdot thetaddot +  48705.306 ydot^2 +  8949.837 ydot thetadot + -2445.688 ydot xddot +  261.512 ydot thetaddot +  76683.061 thetadot^2 +  113099.646 thetadot xddot +  64908.408 thetadot thetaddot + -17946.445 xddot^2 + -287239.418 xddot thetaddot + -264880.539 thetaddot^2 +  356597.117 sin(theta) +  521471.906 cos(theta) + -209279.399 sin(theta) x +  16198.093 sin(theta) y + -366793.098 sin(theta) theta +  193495.339 sin(theta) xdot +  28424.874 sin(theta) ydot +  214695.830 sin(theta) thetadot +  20060.198 sin(theta) xddot +  14286.526 sin(theta) thetaddot + -167408.503 cos(theta) x + -10827.805 cos(theta) y + -585431.059 cos(theta) theta + -227901.719 cos(theta) xdot +  17068.650 cos(theta) ydot + -136666.421 cos(theta) thetadot +  55006.101 cos(theta) xddot +  62397.194 cos(theta) thetaddot
SINDy,bouncing,Full,STLSQ,0.0001,a_theta,62,4.3229270989014457e-14,5.008478103620731e-05,0.002057458915611721,0.9987572443684322,0.6947660597257115,0.0017646547955822206,A, 11.693 x +  1.151 y +  2.816 theta + -6.136 xdot +  4.981 ydot + -3.243 thetadot + -3.876 xddot +  2.633 yddot + -16.402 x^2 + -0.421 x y + -41.652 x theta + -2.530 x xdot + -0.797 x ydot + -3.461 x thetadot +  3.870 x xddot + -2.491 x yddot + -1.099 y theta +  0.755 y xdot +  0.656 y thetadot + -0.011 y xddot + -0.283 y yddot + -15.194 theta^2 +  1.490 theta xdot + -5.047 theta ydot + -2.919 theta thetadot +  6.252 theta xddot + -4.107 theta yddot + -4.415 xdot^2 +  0.451 xdot ydot + -4.652 xdot thetadot + -0.143 xdot xddot +  0.041 xdot yddot + -0.040 ydot^2 +  0.433 ydot thetadot +  0.036 ydot xddot + -0.077 ydot yddot + -0.958 thetadot^2 +  0.981 thetadot xddot + -0.148 thetadot yddot + -0.082 xddot^2 + -0.309 xddot yddot +  0.333 yddot^2 +  4.372 sin(theta) + -2.285 cos(theta) + -0.604 sin(theta) x + -0.166 sin(theta) y + -5.072 sin(theta) theta +  2.618 sin(theta) xdot + -0.165 sin(theta) ydot +  0.669 sin(theta) thetadot +  0.397 sin(theta) xddot + -0.410 sin(theta) yddot + -6.144 cos(theta) x + -0.065 cos(theta) y + -4.879 cos(theta) theta + -1.049 cos(theta) xdot +  0.202 cos(theta) ydot + -2.104 cos(theta) thetadot +  0.325 cos(theta) xddot + -0.561 cos(theta) yddot
SINDy,bouncing,Full,STLSQ,0.0005,a_x,61,8.948516232375158e-16,6.129762123825353e-07,0.0001598639557251721,0.9995305616437545,0.2680065479305169,0.00037267559594558714,A,-8.733 x + -0.722 y + -21.749 theta +  6.165 xdot + -1.363 ydot + -3.565 thetadot + -1.121 yddot +  73.388 thetaddot + -14.738 x^2 +  0.132 x y + -27.947 x theta + -6.229 x xdot +  0.222 x ydot +  5.804 x thetadot +  0.838 x yddot + -1.789 x thetaddot +  0.340 y theta +  0.080 y xdot + -0.071 y thetadot + -0.676 y yddot + -75.437 y thetaddot + -0.859 theta^2 + -14.842 theta xdot +  1.424 theta ydot +  9.943 theta thetadot +  4.189 theta yddot +  0.555 theta thetaddot + -1.256 xdot^2 + -0.070 xdot ydot +  1.496 xdot thetadot +  1.395 xdot yddot +  0.048 xdot thetaddot +  0.136 ydot^2 + -0.105 ydot thetadot + -0.016 ydot yddot +  0.033 ydot thetaddot + -0.497 thetadot^2 + -1.109 thetadot yddot +  0.242 thetadot thetaddot +  0.421 yddot^2 +  0.011 thetaddot^2 + -2.301 sin(theta) + -5.453 cos(theta) +  1.578 sin(theta) x + -0.153 sin(theta) y +  2.655 sin(theta) theta +  0.252 sin(theta) xdot + -0.025 sin(theta) ydot + -0.591 sin(theta) thetadot + -0.311 sin(theta) yddot +  0.167 sin(theta) thetaddot + -1.241 cos(theta) x +  0.029 cos(theta) y +  1.964 cos(theta) theta +  1.001 cos(theta) xdot + -0.049 cos(theta) ydot +  1.454 cos(theta) thetadot + -0.860 cos(theta) yddot + -0.170 cos(theta) thetaddot
SINDy,bouncing,Full,STLSQ,0.0005,a_y,62,0.00017357851888264765,178719.21599728495,20460279.00349348,0.0,0.0,14.046622949597445,F, 2701121.752 x +  137303.886 y +  4106490.916 theta + -854983.000 xdot + -182236.133 ydot +  665500.877 thetadot +  88143.602 xddot +  4993039.332 thetaddot + -611571.554 x^2 + -31736.882 x y + -2186965.768 x theta +  234005.513 x xdot +  39965.925 x ydot + -1570738.797 x thetadot +  118883.921 x xddot +  50683.656 x thetaddot + -0.519 y^2 + -65032.796 y theta + -25571.577 y xdot +  0.494 y ydot + -4546.328 y thetadot +  2402.729 y xddot + -4927690.350 y thetaddot + -2797002.448 theta^2 +  1084467.195 theta xdot +  179085.772 theta ydot + -2197015.822 theta thetadot + -85424.785 theta xddot + -134817.211 theta thetaddot + -173245.736 xdot^2 + -12926.877 xdot ydot + -98728.883 xdot thetadot +  27399.267 xdot xddot + -14251.319 xdot thetaddot +  48705.306 ydot^2 +  8949.837 ydot thetadot + -2445.688 ydot xddot +  261.512 ydot thetaddot +  76683.061 thetadot^2 +  113099.646 thetadot xddot +  64908.408 thetadot thetaddot + -17946.445 xddot^2 + -287239.418 xddot thetaddot + -264880.539 thetaddot^2 +  356597.117 sin(theta) +  521471.906 cos(theta) + -209279.399 sin(theta) x +  16198.093 sin(theta) y + -366793.098 sin(theta) theta +  193495.339 sin(theta) xdot +  28424.874 sin(theta) ydot +  214695.830 sin(theta) thetadot +  20060.198 sin(theta) xddot +  14286.526 sin(theta) thetaddot + -167408.503 cos(theta) x + -10827.805 cos(theta) y + -585431.059 cos(theta) theta + -227901.719 cos(theta) xdot +  17068.650 cos(theta) ydot + -136666.421 cos(theta) thetadot +  55006.101 cos(theta) xddot +  62397.194 cos(theta) thetaddot
SINDy,bouncing,Full,STLSQ,0.0005,a_theta,61,4.361790362776742e-14,4.678474199789137e-05,0.0016121513323611404,0.9988391283662138,0.7608295846098442,0.0017693286338688662,A, 1.567 y + -9.222 theta + -5.927 xdot +  5.951 ydot + -4.878 thetadot + -3.813 xddot +  2.057 yddot + -4.299 x^2 + -0.548 x y + -9.762 x theta + -3.080 x xdot + -1.020 x ydot + -0.428 x thetadot +  3.093 x xddot + -1.895 x yddot + -1.412 y theta +  0.840 y xdot +  0.778 y thetadot +  0.024 y xddot + -0.263 y yddot +  4.633 theta^2 +  0.729 theta xdot + -6.177 theta ydot +  1.036 theta thetadot +  5.380 theta xddot + -3.147 theta yddot + -4.933 xdot^2 +  0.388 xdot ydot + -5.384 xdot thetadot + -0.514 xdot xddot +  0.109 xdot yddot + -0.036 ydot^2 +  0.382 ydot thetadot +  0.036 ydot xddot + -0.070 ydot yddot + -1.045 thetadot^2 +  0.661 thetadot xddot + -0.114 thetadot yddot + -0.080 xddot^2 + -0.301 xddot yddot +  0.262 yddot^2 +  2.857 sin(theta) + -3.894 cos(theta) + -0.357 sin(theta) x + -0.205 sin(theta) y + -4.083 sin(theta) theta +  2.897 sin(theta) xdot + -0.098 sin(theta) ydot +  0.784 sin(theta) thetadot +  0.423 sin(theta) xddot + -0.428 sin(theta) yddot + -5.213 cos(theta) x + -0.114 cos(theta) y + -2.206 cos(theta) theta + -0.621 cos(theta) xdot +  0.177 cos(theta) ydot + -1.488 cos(theta) thetadot +  0.294 cos(theta) xddot + -0.590 cos(theta) yddot
SINDy,bouncing,Full,STLSQ,0.001,a_x,60,9.498845990761967e-16,3.760519641541733e-07,9.259661027601492e-05,0.999712006416645,0.5760137918619006,0.00036874443284409466,A, 5.698 x + -1.084 y + -5.598 theta +  7.848 xdot + -0.883 ydot +  0.187 thetadot + -4.559 yddot +  0.065 thetaddot + -23.837 x^2 +  0.248 x y + -52.839 x theta + -8.497 x xdot +  0.217 x ydot +  0.388 x thetadot +  4.189 x yddot +  0.577 y theta +  0.175 y xdot + -0.053 y thetadot + -0.709 y yddot + -2.198 y thetaddot + -17.550 theta^2 + -17.202 theta xdot +  1.173 theta ydot +  1.805 theta thetadot +  9.472 theta yddot +  2.375 theta thetaddot + -0.226 xdot^2 + -0.086 xdot ydot +  2.416 xdot thetadot +  1.747 xdot yddot +  0.553 xdot thetaddot +  0.089 ydot^2 + -0.136 ydot thetadot +  0.019 ydot yddot +  0.034 ydot thetaddot + -0.423 thetadot^2 + -1.332 thetadot yddot +  0.586 thetadot thetaddot + -0.590 yddot^2 +  0.007 thetaddot^2 + -1.158 sin(theta) + -4.644 cos(theta) +  1.946 sin(theta) x + -0.149 sin(theta) y +  2.521 sin(theta) theta +  0.411 sin(theta) xdot + -0.129 sin(theta) ydot + -0.912 sin(theta) thetadot + -0.466 sin(theta) yddot +  0.112 sin(theta) thetaddot + -3.148 cos(theta) x +  0.090 cos(theta) y + -0.988 cos(theta) theta +  1.316 cos(theta) xdot +  0.070 cos(theta) ydot +  1.682 cos(theta) thetadot + -0.961 cos(theta) yddot + -0.136 cos(theta) thetaddot
SINDy,bouncing,Full,STLSQ,0.001,a_y,62,0.00017357851888264765,178719.21599728495,20460279.00349348,0.0,0.0,14.046622949597445,F, 2701121.752 x +  137303.886 y +  4106490.916 theta + -854983.000 xdot + -182236.133 ydot +  665500.877 thetadot +  88143.602 xddot +  4993039.332 thetaddot + -611571.554 x^2 + -31736.882 x y + -2186965.768 x theta +  234005.513 x xdot +  39965.925 x ydot + -1570738.797 x thetadot +  118883.921 x xddot +  50683.656 x thetaddot + -0.519 y^2 + -65032.796 y theta + -25571.577 y xdot +  0.494 y ydot + -4546.328 y thetadot +  2402.729 y xddot + -4927690.350 y thetaddot + -2797002.448 theta^2 +  1084467.195 theta xdot +  179085.772 theta ydot + -2197015.822 theta thetadot + -85424.785 theta xddot + -134817.211 theta thetaddot + -173245.736 xdot^2 + -12926.877 xdot ydot + -98728.883 xdot thetadot +  27399.267 xdot xddot + -14251.319 xdot thetaddot +  48705.306 ydot^2 +  8949.837 ydot thetadot + -2445.688 ydot xddot +  261.512 ydot thetaddot +  76683.061 thetadot^2 +  113099.646 thetadot xddot +  64908.408 thetadot thetaddot + -17946.445 xddot^2 + -287239.418 xddot thetaddot + -264880.539 thetaddot^2 +  356597.117 sin(theta) +  521471.906 cos(theta) + -209279.399 sin(theta) x +  16198.093 sin(theta) y + -366793.098 sin(theta) theta +  193495.339 sin(theta) xdot +  28424.874 sin(theta) ydot +  214695.830 sin(theta) thetadot +  20060.198 sin(theta) xddot +  14286.526 sin(theta) thetaddot + -167408.503 cos(theta) x + -10827.805 cos(theta) y + -585431.059 cos(theta) theta + -227901.719 cos(theta) xdot +  17068.650 cos(theta) ydot + -136666.421 cos(theta) thetadot +  55006.101 cos(theta) xddot +  62397.194 cos(theta) thetaddot
SINDy,bouncing,Full,STLSQ,0.001,a_theta,60,4.370353522924524e-14,4.46439558163328e-05,0.0015249945611540809,0.9988922477775014,0.7737597114256235,0.0017740575377989624,A, 1.691 y + -10.432 theta + -5.991 xdot +  5.415 ydot + -4.352 thetadot + -3.802 xddot +  2.007 yddot + -4.811 x^2 + -0.595 x y + -9.601 x theta + -2.991 x xdot + -0.933 x ydot + -1.156 x thetadot +  3.019 x xddot + -1.903 x yddot + -1.507 y theta +  0.797 y xdot +  0.748 y thetadot +  0.025 y xddot + -0.277 y yddot +  6.330 theta^2 +  1.018 theta xdot + -5.638 theta ydot +  5.378 theta xddot + -3.111 theta yddot + -4.869 xdot^2 +  0.384 xdot ydot + -5.386 xdot thetadot + -0.525 xdot xddot +  0.119 xdot yddot + -0.015 ydot^2 +  0.381 ydot thetadot +  0.032 ydot xddot + -0.071 ydot yddot + -1.147 thetadot^2 +  0.632 thetadot xddot + -0.147 thetadot yddot + -0.077 xddot^2 + -0.295 xddot yddot +  0.222 yddot^2 +  2.557 sin(theta) + -4.029 cos(theta) + -0.394 sin(theta) x + -0.196 sin(theta) y + -4.029 sin(theta) theta +  2.837 sin(theta) xdot + -0.067 sin(theta) ydot +  0.735 sin(theta) thetadot +  0.435 sin(theta) xddot + -0.428 sin(theta) yddot + -5.206 cos(theta) x + -0.129 cos(theta) y + -2.067 cos(theta) theta + -0.652 cos(theta) xdot +  0.176 cos(theta) ydot + -1.498 cos(theta) thetadot +  0.271 cos(theta) xddot + -0.622 cos(theta) yddot
SINDy,bouncing,Full,STLSQ,0.005,a_x,55,4.096992920976524e-14,2.2536873063168038e-05,0.002317115824337104,0.9827404841624054,-9.609731276868896,0.0004913200561584037,A,-8.994 x + -1.045 y + -44.955 theta +  12.946 xdot +  0.440 ydot + -0.128 thetadot + -0.680 yddot +  29.903 thetaddot + -47.001 x^2 +  0.085 x y + -83.493 x theta + -16.563 x xdot +  0.374 x ydot + -1.652 x thetadot + -3.584 x yddot + -0.041 y theta +  0.837 y xdot +  0.445 y thetadot + -1.566 y yddot + -35.300 y thetaddot + -32.432 theta xdot +  1.067 theta ydot +  7.899 theta thetaddot + -1.416 xdot^2 +  0.934 xdot ydot +  0.972 xdot thetadot +  1.210 xdot yddot +  0.423 xdot thetaddot + -0.085 ydot^2 +  0.433 ydot thetadot + -0.224 ydot yddot +  0.013 ydot thetaddot + -2.509 thetadot^2 + -3.030 thetadot yddot + -0.772 thetadot thetaddot + -1.810 yddot^2 + -0.193 thetaddot^2 + -11.738 cos(theta) +  5.308 sin(theta) x + -0.489 sin(theta) y +  5.062 sin(theta) theta +  0.117 sin(theta) xdot + -1.291 sin(theta) ydot + -2.708 sin(theta) thetadot +  0.792 sin(theta) yddot + -5.307 cos(theta) x +  0.181 cos(theta) y +  2.290 cos(theta) theta +  2.339 cos(theta) xdot +  0.376 cos(theta) ydot +  0.733 cos(theta) thetadot + -1.655 cos(theta) yddot + -1.328 cos(theta) thetaddot
