model_type,library,optimizer,threshold,dof,dof_name,with_lambda,ate,grade,n_terms
SINDy,Full,STLSQ,0.0001,0,xddot,False,0.45349466030394003,D,61
SINDy,Full,STLSQ,0.000251,0,xddot,False,0.45349466030394003,D,61
SINDy,Full,STLSQ,0.000631,0,xddot,False,0.4534905138758032,D,60
SINDy,Full,STLSQ,0.001585,0,xddot,False,0.452492878620022,D,56
SINDy,Full,STLSQ,0.003981,0,xddot,False,0.9421516732430015,F,44
SINDy,Full,STLSQ,0.01,0,xddot,False,0.4452833185188982,D,26
SINDy,Full,STLSQ,0.016681,0,xddot,False,0.44318628710121233,D,15
SINDy,Full,STLSQ,0.027826,0,xddot,False,0.44357481090209505,D,9
SINDy,Full,STLSQ,0.046416,0,xddot,False,0.4437786461540948,D,8
SINDy,Full,STLSQ,0.077426,0,xddot,False,0.4442118682661647,D,3
SINDy,Full,STLSQ,0.129155,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,0.215443,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,0.359381,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,0.599484,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,1.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,3.162278,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,10.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,31.622777,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,STLSQ,0.0001,1,yddot,False,79163009.04697026,F,62
SINDy,Full,STLSQ,0.000251,1,yddot,False,79163009.04697026,F,62
SINDy,Full,STLSQ,0.000631,1,yddot,False,79163009.04697026,F,62
SINDy,Full,STLSQ,0.001585,1,yddot,False,79163009.04697026,F,62
SINDy,Full,STLSQ,0.003981,1,yddot,False,57309394.79639903,F,59
SINDy,Full,STLSQ,0.01,1,yddot,False,57221535.851143,F,58
SINDy,Full,STLSQ,0.016681,1,yddot,False,14166465.64466381,F,54
SINDy,Full,STLSQ,0.027826,1,yddot,False,107448.07357348166,F,37
SINDy,Full,STLSQ,0.046416,1,yddot,False,77.8527217220722,F,26
SINDy,Full,STLSQ,0.077426,1,yddot,False,0.5645844450105618,F,18
SINDy,Full,STLSQ,0.129155,1,yddot,False,0.498112924186367,D,9
SINDy,Full,STLSQ,0.215443,1,yddot,False,0.2703273052357307,D,3
SINDy,Full,STLSQ,0.359381,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,STLSQ,0.599484,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,STLSQ,1.0,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,STLSQ,3.162278,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,STLSQ,10.0,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,STLSQ,31.622777,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,STLSQ,0.0001,2,thetaddot,False,2.5169898200888743,F,61
SINDy,Full,STLSQ,0.000251,2,thetaddot,False,2.5170370333232555,F,60
SINDy,Full,STLSQ,0.000631,2,thetaddot,False,2.5170370333232555,F,60
SINDy,Full,STLSQ,0.001585,2,thetaddot,False,2.516332157444141,F,59
SINDy,Full,STLSQ,0.003981,2,thetaddot,False,2.51497182862509,F,49
SINDy,Full,STLSQ,0.01,2,thetaddot,False,2.5080715528256707,F,27
SINDy,Full,STLSQ,0.016681,2,thetaddot,False,2.5087873680152053,F,23
SINDy,Full,STLSQ,0.027826,2,thetaddot,False,2.458274671993533,F,11
SINDy,Full,STLSQ,0.046416,2,thetaddot,False,2.4306220671093337,F,13
SINDy,Full,STLSQ,0.077426,2,thetaddot,False,2.4362980630196716,F,6
SINDy,Full,STLSQ,0.129155,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,0.215443,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,0.359381,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,0.599484,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,1.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,3.162278,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,10.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,STLSQ,31.622777,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,0.0001,0,xddot,False,0.4533696980639288,D,58
SINDy,Full,SR3_L1,0.000251,0,xddot,False,0.45340661925678616,D,55
SINDy,Full,SR3_L1,0.000631,0,xddot,False,0.45326733549771603,D,51
SINDy,Full,SR3_L1,0.001585,0,xddot,False,0.4531881478436498,D,45
SINDy,Full,SR3_L1,0.003981,0,xddot,False,0.4534513222198084,D,32
SINDy,Full,SR3_L1,0.01,0,xddot,False,0.45655082838772687,D,10
SINDy,Full,SR3_L1,0.016681,0,xddot,False,0.45795920834734216,D,9
SINDy,Full,SR3_L1,0.027826,0,xddot,False,0.4563812639714957,D,8
SINDy,Full,SR3_L1,0.046416,0,xddot,False,0.4619389336466664,D,7
SINDy,Full,SR3_L1,0.077426,0,xddot,False,0.47383275282147924,D,2
SINDy,Full,SR3_L1,0.129155,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,0.215443,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,0.359381,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,0.599484,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,1.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,3.162278,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,10.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,31.622777,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,SR3_L1,0.0001,1,yddot,False,79176565.59910235,F,63
SINDy,Full,SR3_L1,0.000251,1,yddot,False,79176565.59740438,F,62
SINDy,Full,SR3_L1,0.000631,1,yddot,False,79176565.59316233,F,61
SINDy,Full,SR3_L1,0.001585,1,yddot,False,79176565.58253978,F,61
SINDy,Full,SR3_L1,0.003981,1,yddot,False,79176565.55585662,F,61
SINDy,Full,SR3_L1,0.01,1,yddot,False,79176565.48883504,F,61
SINDy,Full,SR3_L1,0.016681,1,yddot,False,79176565.41444114,F,61
SINDy,Full,SR3_L1,0.027826,1,yddot,False,79176565.29034057,F,61
SINDy,Full,SR3_L1,0.046416,1,yddot,False,79176565.08333471,F,61
SINDy,Full,SR3_L1,0.077426,1,yddot,False,79176564.73803565,F,61
SINDy,Full,SR3_L1,0.129155,1,yddot,False,79176564.16202343,F,61
SINDy,Full,SR3_L1,0.215443,1,yddot,False,79176563.20119302,F,61
SINDy,Full,SR3_L1,0.359381,1,yddot,False,79176561.59841654,F,61
SINDy,Full,SR3_L1,0.599484,1,yddot,False,79176558.92482765,F,61
SINDy,Full,SR3_L1,1.0,1,yddot,False,79176554.46501154,F,61
SINDy,Full,SR3_L1,3.162278,1,yddot,False,79176530.38766907,F,61
SINDy,Full,SR3_L1,10.0,1,yddot,False,79176454.43088308,F,61
SINDy,Full,SR3_L1,31.622777,1,yddot,False,79176214.46719426,F,61
SINDy,Full,SR3_L1,0.0001,2,thetaddot,False,2.515980192834236,F,57
SINDy,Full,SR3_L1,0.000251,2,thetaddot,False,2.5140166256626615,F,52
SINDy,Full,SR3_L1,0.000631,2,thetaddot,False,2.5111441421594947,F,40
SINDy,Full,SR3_L1,0.001585,2,thetaddot,False,2.511105815145806,F,19
SINDy,Full,SR3_L1,0.003981,2,thetaddot,False,2.500539758930994,F,11
SINDy,Full,SR3_L1,0.01,2,thetaddot,False,2.463569100807673,F,7
SINDy,Full,SR3_L1,0.016681,2,thetaddot,False,2.440700988610082,F,3
SINDy,Full,SR3_L1,0.027826,2,thetaddot,False,2.4628117744042246,F,3
SINDy,Full,SR3_L1,0.046416,2,thetaddot,False,2.5024040588420604,F,3
SINDy,Full,SR3_L1,0.077426,2,thetaddot,False,2.570747509622369,F,3
SINDy,Full,SR3_L1,0.129155,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,0.215443,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,0.359381,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,0.599484,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,1.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,3.162278,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,10.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,SR3_L1,31.622777,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,LASSO,0.0001,0,xddot,False,0.44422230389913625,D,21
SINDy,Full,LASSO,0.000251,0,xddot,False,0.4441843945496848,D,17
SINDy,Full,LASSO,0.000631,0,xddot,False,0.4444229270989178,D,13
SINDy,Full,LASSO,0.001585,0,xddot,False,0.44454696474827404,D,13
SINDy,Full,LASSO,0.003981,0,xddot,False,0.4445409386915654,D,9
SINDy,Full,LASSO,0.01,0,xddot,False,0.44436066511890165,D,7
SINDy,Full,LASSO,0.016681,0,xddot,False,0.44463198420469563,D,7
SINDy,Full,LASSO,0.027826,0,xddot,False,0.4451107416744112,D,5
SINDy,Full,LASSO,0.046416,0,xddot,False,0.44597213476742426,D,4
SINDy,Full,LASSO,0.077426,0,xddot,False,0.44734123970966033,D,3
SINDy,Full,LASSO,0.129155,0,xddot,False,0.44947748827529016,D,3
SINDy,Full,LASSO,0.215443,0,xddot,False,0.45304323448482053,D,2
SINDy,Full,LASSO,0.359381,0,xddot,False,0.4589914517450348,D,2
SINDy,Full,LASSO,0.599484,0,xddot,False,0.46730234754484895,D,1
SINDy,Full,LASSO,1.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,LASSO,3.162278,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,LASSO,10.0,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,LASSO,31.622777,0,xddot,False,0.47661722247077726,D,0
SINDy,Full,LASSO,0.0001,1,yddot,False,0.4931298704826421,D,18
SINDy,Full,LASSO,0.000251,1,yddot,False,0.4392404501887905,D,18
SINDy,Full,LASSO,0.000631,1,yddot,False,0.3985211913185632,D,14
SINDy,Full,LASSO,0.001585,1,yddot,False,0.3687289479910932,D,17
SINDy,Full,LASSO,0.003981,1,yddot,False,0.36036474943295316,D,10
SINDy,Full,LASSO,0.01,1,yddot,False,0.35648435537827,D,9
SINDy,Full,LASSO,0.016681,1,yddot,False,0.3550276240195985,D,10
SINDy,Full,LASSO,0.027826,1,yddot,False,0.3511323027420629,D,6
SINDy,Full,LASSO,0.046416,1,yddot,False,0.34581786711166634,D,4
SINDy,Full,LASSO,0.077426,1,yddot,False,0.3394369297514212,D,4
SINDy,Full,LASSO,0.129155,1,yddot,False,0.33259330982931656,D,3
SINDy,Full,LASSO,0.215443,1,yddot,False,0.3270712677245206,D,3
SINDy,Full,LASSO,0.359381,1,yddot,False,0.31787518379905416,D,3
SINDy,Full,LASSO,0.599484,1,yddot,False,0.3025558058371678,D,3
SINDy,Full,LASSO,1.0,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,LASSO,3.162278,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,LASSO,10.0,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,LASSO,31.622777,1,yddot,False,0.2786098772390837,D,0
SINDy,Full,LASSO,0.0001,2,thetaddot,False,2.4529870021714384,F,21
SINDy,Full,LASSO,0.000251,2,thetaddot,False,2.4420990951691386,F,17
SINDy,Full,LASSO,0.000631,2,thetaddot,False,2.435583663526845,F,14
SINDy,Full,LASSO,0.001585,2,thetaddot,False,2.4411218323035584,F,14
SINDy,Full,LASSO,0.003981,2,thetaddot,False,2.442109172569936,F,9
SINDy,Full,LASSO,0.01,2,thetaddot,False,2.4338109135684936,F,9
SINDy,Full,LASSO,0.016681,2,thetaddot,False,2.431400775183504,F,7
SINDy,Full,LASSO,0.027826,2,thetaddot,False,2.431249741568009,F,5
SINDy,Full,LASSO,0.046416,2,thetaddot,False,2.4338488668764606,F,5
SINDy,Full,LASSO,0.077426,2,thetaddot,False,2.440750531846273,F,4
SINDy,Full,LASSO,0.129155,2,thetaddot,False,2.4455708289769853,F,4
SINDy,Full,LASSO,0.215443,2,thetaddot,False,2.4565764126925402,F,2
SINDy,Full,LASSO,0.359381,2,thetaddot,False,2.4890497591723646,F,1
SINDy,Full,LASSO,0.599484,2,thetaddot,False,2.543546809025498,F,1
SINDy,Full,LASSO,1.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,LASSO,3.162278,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,LASSO,10.0,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,LASSO,31.622777,2,thetaddot,False,2.6340781326785514,F,0
SINDy,Full,Ridge,0.0001,0,xddot,False,0.4454647944941252,D,62
SINDy,Full,Ridge,0.000251,0,xddot,False,0.44475410733814935,D,62
SINDy,Full,Ridge,0.000631,0,xddot,False,0.4437079295433316,D,62
SINDy,Full,Ridge,0.001585,0,xddot,False,0.4425443454818952,D,62
SINDy,Full,Ridge,0.003981,0,xddot,False,0.4415732712279532,D,62
SINDy,Full,Ridge,0.01,0,xddot,False,0.4409496672898823,D,62
SINDy,Full,Ridge,0.016681,0,xddot,False,0.44072405146625543,D,62
SINDy,Full,Ridge,0.027826,0,xddot,False,0.44055996261109953,D,62
SINDy,Full,Ridge,0.046416,0,xddot,False,0.44045254553079044,D,62
SINDy,Full,Ridge,0.077426,0,xddot,False,0.440404438534933,D,62
SINDy,Full,Ridge,0.129155,0,xddot,False,0.44041604749891905,D,62
