feature,coefficient
q1,2676479621.53015
q2,-1.1237479640668886
q3,90169345.48235615
q1 q2,-14380117682.870527
q1 q3,-1703899852.0005164
q2^2,1.5752921531915638
q2 q3,0.7153988369572948
q2 q2_dot,-0.47942907736289436
q2 q3_dot,-4975504666.000579
q3^2,57403040.5128038
q2_dot^2,-0.1962787248603146
cos(q3),-450838522.34570664
sin(q3)*q1,-2676479621.5301523
sin(q3)*q2,1.1237458652990258
sin(q3)*q3,-90167624.7270707
sin(q3)*q1 q2,14380117682.870567
sin(q3)*q1 q3,1703899852.0005305
sin(q3)*q2^2,-1.5752921531915616
sin(q3)*q2 q3,-0.7153988369572944
sin(q3)*q2 q2_dot,0.47942907736289314
sin(q3)*q2 q3_dot,4975504666.000573
sin(q3)*q3^2,-57403040.512804076
sin(q3)*q2_dot^2,0.19627872486031475
cos(q3)*q2,2757079822.765724
cos(q3)*q3,287012718.2940317
cos(q3)*q2_dot,12736478377.40457
cos(q3)*q2^2,50173111055.13995
cos(q3)*q2 q3,-1755211524.8369749
cos(q3)*q2 q2_dot,-120266007668.30174
cos(q3)*q3^2,-182717971.91137567
cos(q3)*q3 q2_dot,-8108293960.031011
