model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,ate,equation
SINDy,Full,STLSQ,False,0,xddot,15,0.016681,1.5222925528587295e-09,0.002183929347166674,0.0030872265348134116,0.6481467074492557,0.44318628710121233,-79110.217 thetaddot + -0.448 x thetaddot +  79108.424 y thetaddot +  0.232 theta thetaddot + -0.355 xdot thetaddot +  0.011 ydot thetaddot +  0.421 thetadot thetaddot +  0.017 thetaddot^2 + -1.179 cos(theta) + -0.010 sin(theta) thetadot +  0.314 sin(theta) thetaddot +  1.077 cos(theta) x +  2.511 cos(theta) theta +  0.342 cos(theta) xdot +  0.595 cos(theta) thetadot
SINDy,Full,STLSQ,False,1,yddot,3,0.215443,0.1671793835649791,1.8093773830960762,2.1683336142206526,-4.742460175804383,0.2703273052357307, 0.820 ydot xddot +  0.731 ydot thetaddot +  0.559 sin(theta) ydot
SINDy,Full,STLSQ,False,2,thetaddot,13,0.046416,4.7702967001501094e-08,0.16189995378485203,0.20564347816164544,-12.848115868117368,2.4306220671093337,-1.155 xddot +  1.592 x xddot +  0.007 y xdot + -0.444 y xddot +  1.926 theta xddot +  1.083 xdot xddot +  0.783 thetadot xddot + -8.218 cos(theta) + -0.191 sin(theta) xddot +  10.256 cos(theta) x +  18.540 cos(theta) theta + -0.811 cos(theta) xdot + -0.415 cos(theta) thetadot
SINDy,Full,SR3_L1,False,0,xddot,45,0.001585,1.7303163569229792e-06,0.010987951554284553,0.0751502981571338,-7.564930219594583,0.4531881478436498,-0.048 x +  0.016 y +  0.012 xdot + -0.014 ydot +  1.052 yddot + -0.456 thetaddot + -0.103 x xdot + -0.153 x thetadot + -0.026 x yddot +  0.015 y thetadot +  0.021 y yddot + -0.456 y thetaddot + -0.025 theta^2 +  0.099 theta xdot +  0.136 theta ydot +  0.032 theta thetadot +  0.946 theta yddot + -0.014 theta thetaddot +  0.132 xdot^2 +  0.012 xdot ydot +  0.031 xdot thetadot +  0.004 xdot thetaddot + -0.010 ydot thetadot +  0.100 ydot yddot + -0.072 thetadot^2 + -0.052 thetadot yddot + -0.004 thetadot thetaddot +  2.725 yddot^2 +  0.099 sin(theta) +  0.021 cos(theta) + -0.137 sin(theta) x +  0.001 sin(theta) y + -0.196 sin(theta) theta + -0.084 sin(theta) xdot + -0.056 sin(theta) ydot + -0.082 sin(theta) thetadot +  0.567 sin(theta) yddot + -0.071 cos(theta) x +  0.001 cos(theta) y + -0.096 cos(theta) theta + -0.085 cos(theta) xdot + -0.042 cos(theta) ydot + -0.048 cos(theta) thetadot + -0.211 cos(theta) yddot +  0.005 cos(theta) thetaddot
SINDy,Full,SR3_L1,False,1,yddot,61,31.622777,753.1306433190208,1.525366360556486e+17,2.7197591863756432e+17,-7.202816353125512e+17,79176214.46719426,-39625289.070 1 +  21550445.550 x +  31515631.127 y + -115623328.053 theta +  32143454.880 xdot +  113786911.801 ydot +  53673561.863 thetadot + -1250176511.573 xddot +  3214922895.660 thetaddot + -6658887.872 x^2 + -14105146.806 x y + -45464047.123 x theta +  31899899.989 x xdot + -5650776.992 x ydot +  31180380.324 x thetadot + -174649566.803 x xddot + -302271472.594 x thetaddot + -28030799.672 y theta +  19465045.685 y xdot +  17088673.423 y thetadot +  61051675.225 y xddot + -4283138886.522 y thetaddot +  87753707.464 theta^2 +  39418879.881 theta xdot + -111634689.456 theta ydot +  25164173.300 theta thetadot +  528097492.513 theta xddot +  309519144.101 theta thetaddot + -73086531.555 xdot^2 + -9147908.062 xdot ydot + -196083716.018 xdot thetadot + -824913611.106 xdot xddot + -824450005.559 xdot thetaddot +  11.808 ydot^2 + -12856647.636 ydot thetadot +  8728779.236 ydot xddot +  7329969.543 ydot thetaddot + -127289659.212 thetadot^2 +  692750721.254 thetadot xddot +  674353204.562 thetadot thetaddot + -433144117.420 xddot^2 + -105046299.825 xddot thetaddot +  329310216.452 thetaddot^2 + -81644712.112 sin(theta) +  76296236.983 cos(theta) +  97223363.933 sin(theta) x + -4646173.060 sin(theta) y +  149175579.953 sin(theta) theta + -81535.817 sin(theta) xdot + -7386582.935 sin(theta) ydot + -1724770.142 sin(theta) thetadot +  137077572.052 sin(theta) xddot +  137910897.297 sin(theta) thetaddot + -94290629.334 cos(theta) x + -20068759.202 cos(theta) y + -147667020.552 cos(theta) theta + -25294050.327 cos(theta) xdot + -4091209.148 cos(theta) ydot + -24593860.022 cos(theta) thetadot +  6990825.953 cos(theta) xddot +  9715557.760 cos(theta) thetaddot
SINDy,Full,SR3_L1,False,2,thetaddot,3,0.016681,0.008657539785145461,0.11475007702136725,0.1535704502979316,-9.341496888965573,2.440700988610082,-0.798 xddot +  0.034 xdot xddot + -0.025 thetadot xddot
SINDy,Full,LASSO,False,0,xddot,17,0.000251,2.429990998733221e-08,0.0027044897250621037,0.007291131579770797,0.1690248111585,0.4441843945496848,-0.000496 x +0.000029 theta +0.005878 yddot -0.880987 thetaddot +0.005516 x^2 +0.002529 x ydot -0.025805 x yddot +0.000374 theta^2 -0.030047 xdot yddot +0.018979 xdot thetaddot -0.003686 ydot thetadot -0.000043 ydot thetaddot +0.010742 thetadot yddot -0.004799 thetadot thetaddot +0.003106 cos(theta) -0.051030 cos(theta) xdot +0.004385 cos(theta) thetadot
SINDy,Full,LASSO,False,1,yddot,0,1.0,0.23862021056058919,0.24647519412871835,0.3990677673287227,-0.056862627735456917,0.2786098772390837,0
SINDy,Full,LASSO,False,2,thetaddot,5,0.027826,0.0007295465431779255,0.12852819029669235,0.16827100607242448,-10.331438323095956,2.431249741568009,-0.905896 xddot +0.020704 x xddot +0.058924 y xdot -0.002579 theta xddot -0.010766 thetadot xddot
SINDy,Full,Ridge,False,0,xddot,62,0.077426,5.286687238159081e-09,0.000995220313418845,0.06389329104694312,-6.281961518942651,0.440404438534933,-0.001939 x -0.003045 y +0.003246 theta +0.000821 xdot -0.001874 ydot -0.006446 thetadot +0.003570 yddot -0.093167 thetaddot +0.004763 x^2 -0.009313 x y -0.004021 x theta +0.021600 x xdot +0.013806 x ydot -0.019605 x thetadot -0.040309 x yddot +0.067714 x thetaddot +0.001278 y^2 +0.005341 y theta -0.031109 y xdot -0.001865 y ydot +0.024208 y thetadot -0.005525 y yddot -0.093167 y thetaddot +0.004229 theta^2 -0.015757 theta xdot -0.002657 theta ydot +0.012532 theta thetadot +0.008450 theta yddot -0.075910 theta thetaddot -0.005165 xdot^2 -0.002501 xdot ydot +0.012244 xdot thetadot -0.011334 xdot yddot +0.101091 xdot thetaddot +0.002861 ydot^2 -0.028156 ydot thetadot +0.006871 ydot yddot -0.040648 ydot thetaddot -0.020462 thetadot^2 +0.007494 thetadot yddot -0.112440 thetadot thetaddot -0.003780 yddot^2 -0.000058 yddot thetaddot +0.036746 thetaddot^2 +0.016952 sin(theta) +0.045462 cos(theta) +0.022416 sin(theta) x -0.002287 sin(theta) y -0.007195 sin(theta) theta -0.016599 sin(theta) xdot -0.006858 sin(theta) ydot +0.020757 sin(theta) thetadot -0.011141 sin(theta) yddot +0.057772 sin(theta) thetaddot -0.054302 cos(theta) x +0.014554 cos(theta) y +0.049699 cos(theta) theta -0.078116 cos(theta) xdot -0.024186 cos(theta) ydot +0.083988 cos(theta) thetadot -0.005750 cos(theta) yddot -0.004643 cos(theta) thetaddot
